         1.0000000000      144.4100000000        1.0000000000       12.0000000000        6.0000000000
        0.0341479293       -0.0264023989        0.1360295704
       -0.4863960196        0.3543281900        0.3172945506
       -0.1653605466       -0.5801970381       -0.2494091576
       -0.5825195942       -0.0138062239       -0.2340819893
       -0.1560485704        0.5653968258       -0.2259359446
        0.5088297555        0.3354409707       -0.2365314143
        0.5047243166       -0.3673859496       -0.2553850718
        0.0167005943       -0.0041443399       -0.5331482885
        0.0102526768        0.0100143459       -1.2022956140
       -0.4685743551       -0.3475051549       -0.8395395404
        0.1953792025       -0.5660095792       -0.8499788348
       -0.4660342818        0.3553537398       -0.8216253841
        0.2045333814        0.5666625892       -0.8266824753
        0.6104819989       -0.0022460591       -0.8420499352
