         1.0000000000      144.4100000000        1.0000000000       12.0000000000        6.0000000000
        0.0814228027       -0.0615305683        0.1587374269
       -0.5024308519       -0.3573854983        0.3194924304
       -0.4443939211        0.3230241141        0.3441466429
        0.1883483105        0.5807823378        0.3326870383
       -0.1740958777       -0.5831052119       -0.2369714212
       -0.5998821945        0.0032063538       -0.2403163026
       -0.1773646625        0.5770400481       -0.2322457738
        0.5088451820        0.3444174625       -0.2239265293
        0.5174805569       -0.3766590665       -0.2638737596
        0.0141707034       -0.0025709108       -0.5125750833
        0.0127475949        0.0079955083       -1.1893682840
       -0.4694622064       -0.3460624605       -0.8300673172
        0.1900220492       -0.5643690663       -0.8407702947
       -0.4641007297        0.3540320258       -0.8288759115
        0.2027650404        0.5669094642       -0.8172270704
        0.6072010169        0.0022141642       -0.8328017380
